"id";"created_at";"updated_at";"row_version";"date_time";"resolution";"temperature";"source";"estimated";"location__id"
1953590;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 02:00:00+00";"PT60M";8,16;"D";TRUE;1
1953591;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 03:00:00+00";"PT60M";7,77;"D";TRUE;1
1953592;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 04:00:00+00";"PT60M";7,46;"D";TRUE;1
1953593;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 05:00:00+00";"PT60M";7,21;"D";TRUE;1
1953594;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 06:00:00+00";"PT60M";7,3;"D";TRUE;1
1953595;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 07:00:00+00";"PT60M";8,36;"D";TRUE;1
1953596;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 08:00:00+00";"PT60M";9,61;"D";TRUE;1
1953597;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 09:00:00+00";"PT60M";11,18;"D";TRUE;1
1953598;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 10:00:00+00";"PT60M";12,71;"D";TRUE;1
1953599;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 11:00:00+00";"PT60M";14,42;"D";TRUE;1
1953600;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 12:00:00+00";"PT60M";15,58;"D";TRUE;1
1953601;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 13:00:00+00";"PT60M";16,2;"D";TRUE;1
1953602;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 14:00:00+00";"PT60M";15,98;"D";TRUE;1
1953603;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 15:00:00+00";"PT60M";15,41;"D";TRUE;1
1953604;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 16:00:00+00";"PT60M";14,6;"D";TRUE;1
1953605;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 17:00:00+00";"PT60M";14,25;"D";TRUE;1
1953606;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 18:00:00+00";"PT60M";13,58;"D";TRUE;1
1953607;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 19:00:00+00";"PT60M";13,12;"D";TRUE;1
1953608;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 20:00:00+00";"PT60M";12,67;"D";TRUE;1
1953609;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 21:00:00+00";"PT60M";12,31;"D";TRUE;1
1953610;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 22:00:00+00";"PT60M";12,03;"D";TRUE;1
1953641;"2020-10-23 05:00:08.09372+00";"2020-10-23 05:00:08.09372+00";1;"2020-10-24 04:00:00+00";"PT60M";10,01;"D";TRUE;1
1953642;"2020-10-23 05:00:08.09372+00";"2020-10-23 05:00:08.09372+00";1;"2020-10-24 05:00:00+00";"PT60M";9,77;"D";TRUE;1
1953643;"2020-10-23 05:00:08.09372+00";"2020-10-23 05:00:08.09372+00";1;"2020-10-24 06:00:00+00";"PT60M";9,95;"D";TRUE;1
1953644;"2020-10-23 05:00:08.09372+00";"2020-10-23 05:00:08.09372+00";1;"2020-10-24 07:00:00+00";"PT60M";10,89;"D";TRUE;1
1953645;"2020-10-23 05:00:08.09372+00";"2020-10-23 05:00:08.09372+00";1;"2020-10-24 08:00:00+00";"PT60M";12,49;"D";TRUE;1
